isHelpful,response,created_at,WM Entities
False,I'm looking for a delivery that was called generation wellness.,2020-07-11 3:11:06,"{'labels': {'SERVICE': 1}, 'entities': [{'key': 'delivery', 'label': 'SERVICE', 'text': 'delivery', 'token_end': 6, 'token_start': 5}]}"
False,"Guild's THCa powder concentrate (""African Queen""), which I've purchased before, didn't come up with the search query ""guild thca"" and the filter ""concentrates."" Wondering if it's because it's not in stock near me... but I'd rather see the result and see that it's not available for sale near me vs not seeing it in the results, because now I can't tell if it's not showing up because the search tool isn't fully optimized yet. You guys do great work on this site, tho! Thank you! <3",2020-09-05 20:02:49,"{'labels': {'GPE': 2, 'PRODUCT': 4, 'PRODUCT_TAG': 2, 'SERVICE': 1, 'STRAIN': 2}, 'entities': [{'key': ""Guild 's"", 'label': 'STRAIN', 'text': ""Guild's"", 'token_end': 2, 'token_start': 0}, {'key': 'THCa', 'label': 'PRODUCT_TAG', 'text': 'THCa', 'token_end': 3, 'token_start': 2}, {'key': 'powder', 'label': 'PRODUCT', 'text': 'powder', 'token_end': 4, 'token_start': 3}, {'key': 'concentrate', 'label': 'PRODUCT', 'text': 'concentrate', 'token_end': 5, 'token_start': 4}, {'key': 'african', 'label': 'STRAIN', 'text': 'African', 'token_end': 8, 'token_start': 7}, {'key': 'before', 'label': 'GPE', 'text': 'before', 'token_end': 17, 'token_start': 16}, {'key': 'thca', 'label': 'PRODUCT_TAG', 'text': 'thca', 'token_end': 29, 'token_start': 28}, {'key': 'concentrates', 'label': 'PRODUCT', 'text': 'concentrates', 'token_end': 35, 'token_start': 34}, {'key': 'sale', 'label': 'SERVICE', 'text': 'sale', 'token_end': 66, 'token_start': 65}, {'key': 'because', 'label': 'GPE', 'text': 'because', 'token_end': 77, 'token_start': 76}, {'key': '<3', 'label': 'PRODUCT', 'text': '<3', 'token_end': 113, 'token_start': 112}]}"
False,Kurupt's moon rocks,2020-08-20 18:53:08,"{'labels': {'ORG': 1, 'STRAIN': 1}, 'entities': [{'key': ""Kurupt 's"", 'label': 'ORG', 'text': ""Kurupt's"", 'token_end': 2, 'token_start': 0}, {'key': 'moon rock', 'label': 'STRAIN', 'text': 'moon rocks', 'token_end': 4, 'token_start': 2}]}"
False,Investments,2020-09-06 20:21:51,"{'labels': {'PRODUCT': 1}, 'entities': [{'key': 'investment', 'label': 'PRODUCT', 'text': 'Investments', 'token_end': 1, 'token_start': 0}]}"
True,Orange 43 bomb,2020-08-20 22:54:27,"{'labels': {'STRAIN': 1}, 'entities': [{'key': 'Orange 43', 'label': 'STRAIN', 'text': 'Orange 43', 'token_end': 2, 'token_start': 0}]}"
False,Do I have to have a medical card to buy,2020-07-12 13:07:56,"{'labels': {'SERVICE': 1}, 'entities': [{'key': 'medical', 'label': 'SERVICE', 'text': 'medical', 'token_end': 7, 'token_start': 6}]}"
False,I was looking for a dispensary open at the time of my search or 24 hour.,2020-08-27 13:26:44,"{'labels': {'SERVICE': 2}, 'entities': [{'key': 'storefront', 'label': 'SERVICE', 'text': 'dispensary', 'token_end': 6, 'token_start': 5}, {'key': 'open', 'label': 'SERVICE', 'text': 'open', 'token_end': 7, 'token_start': 6}]}"
False,"I don't think so . Looking for high CDB oil Cartridge for my pen . Using for relief of fibromyalgia pain and spasms . 
",2020-09-10 6:09:50,"{'labels': {'PRODUCT': 2, 'PRODUCT_TAG': 2}, 'entities': [{'key': 'Cartridge', 'label': 'PRODUCT', 'text': 'Cartridge', 'token_end': 12, 'token_start': 11}, {'key': 'pen', 'label': 'PRODUCT', 'text': 'pen', 'token_end': 15, 'token_start': 14}, {'key': 'fibromyalgia', 'label': 'PRODUCT_TAG', 'text': 'fibromyalgia', 'token_end': 21, 'token_start': 20}, {'key': 'pain', 'label': 'PRODUCT_TAG', 'text': 'pain', 'token_end': 22, 'token_start': 21}]}"
False,Trying to figure out what is best for camcer,2020-09-10 6:39:06,"{'labels': {'PRODUCT': 1}, 'entities': [{'key': 'camcer', 'label': 'PRODUCT', 'text': 'camcer', 'token_end': 9, 'token_start': 8}]}"
False,I'm looking for source for plant clones.,2020-07-14 0:25:51,"{'labels': {'PRODUCT': 1, 'PRODUCT_TAG': 1}, 'entities': [{'key': 'source for', 'label': 'PRODUCT_TAG', 'text': 'source for', 'token_end': 6, 'token_start': 4}, {'key': 'clone', 'label': 'PRODUCT', 'text': 'clones', 'token_end': 8, 'token_start': 7}]}"
False,I was looking for gummy,2020-08-21 20:22:16,"{'labels': {'PRODUCT': 1}, 'entities': [{'key': 'gummy', 'label': 'PRODUCT', 'text': 'gummy', 'token_end': 5, 'token_start': 4}]}"
False,"need higher thc in flower...seditive,pain relief and sleep....concentrates are no good for sleep.the high is straight up and straight down..they have no legs and all of your indicas are very speedy,and jaw clinching...i'm sorry,but until you get higher thc and better quality flower and stock enough ,so as not to seem like bait and switch.i'll be going all the way to sheridon",2020-09-13 11:29:01,"{'labels': {'PRODUCT': 4, 'PRODUCT_TAG': 5, 'STRAIN': 2}, 'entities': [{'key': 'thc', 'label': 'PRODUCT_TAG', 'text': 'thc', 'token_end': 3, 'token_start': 2}, {'key': 'flower', 'label': 'PRODUCT', 'text': 'flower', 'token_end': 5, 'token_start': 4}, {'key': 'pain', 'label': 'PRODUCT_TAG', 'text': 'pain', 'token_end': 9, 'token_start': 8}, {'key': 'sleep', 'label': 'PRODUCT_TAG', 'text': 'sleep', 'token_end': 12, 'token_start': 11}, {'key': 'concentrate', 'label': 'PRODUCT', 'text': 'concentrates', 'token_end': 14, 'token_start': 13}, {'key': 'sleep.the', 'label': 'PRODUCT_TAG', 'text': 'sleep.the', 'token_end': 19, 'token_start': 18}, {'key': 'sorry', 'label': 'STRAIN', 'text': 'sorry', 'token_end': 46, 'token_start': 45}, {'key': 'thc', 'label': 'PRODUCT_TAG', 'text': 'thc', 'token_end': 53, 'token_start': 52}, {'key': 'well', 'label': 'PRODUCT', 'text': 'better', 'token_end': 55, 'token_start': 54}, {'key': 'flower', 'label': 'PRODUCT', 'text': 'flower', 'token_end': 57, 'token_start': 56}, {'key': 'enough', 'label': 'STRAIN', 'text': 'enough', 'token_end': 60, 'token_start': 59}]}"
False,"Panama red
Acapulco gold 
Land races not found in search",2020-07-14 22:22:44,"{'labels': {'STRAIN': 2, 'TAGKIND': 1}, 'entities': [{'key': 'Panama red', 'label': 'STRAIN', 'text': 'Panama red', 'token_end': 2, 'token_start': 0}, {'key': 'acapulco gold', 'label': 'STRAIN', 'text': 'Acapulco gold', 'token_end': 5, 'token_start': 3}, {'key': 'race', 'label': 'TAGKIND', 'text': 'races', 'token_end': 8, 'token_start': 7}]}"
False,La Familia chocolate bars 200mg,2020-07-14 23:42:55,"{'labels': {'PRODUCT_TAG': 1}, 'entities': [{'key': '200 mg', 'label': 'PRODUCT_TAG', 'text': '200mg', 'token_end': 6, 'token_start': 4}]}"
