Noun Chunk,count
a dispensary,72
my area,62
you guys,38
your site,35
cbd oil,35
the strain,29
a strain,28
the flower,25
the dispensary,22
my location,21
a lot,20
this site,19
a place,19
a product,18
the search,17
the name,16
an ounce,16
20 miles,16
wedding cake,15
rick simpson oil,15
the product,15
my search,14
white widow,14
vape pens,14
blue dream,14
green crack,13
a medical card,12
vape pen,12
northern lights,12
100 miles,12
the menu,12
a review,12
the results,11
pre rolls,11
moon rock,11
thc oil,11
the state,11
your website,11
moon rocks,11
your search,11
a store,11
vape cartridges,11
a brand,10
cbd flower,10
credit cards,10
sour diesel,10
a list,10
this strain,10
no thc,10
1000mg,10
no one,10
las vegas,10
a delivery,9
good weed,9
medical marijuana,9
a shop,9
no results,9
an order,9
the website,9
your app,9
the store,9
recreational marijuana,9
my order,9
the dispensaries,9
recreational dispensaries,9
a dry zone,9
green crack flower,9
pain relief,8
a delivery service,8
hard candy,8
weed maps,8
live resin,8
my pain,8
this app,8
the brand,8
a card,8
thc gummies,8
alien labs,8
this website,8
no products,8
the day,8
200mg,7
the map,7
purple haze,7
the cartridges,7
my house,7
what kind,7
this product,7
pineapple express,7
the price,7
the site,7
my card,7
the strains,7
more information,7
white rhino,7
a tincture,7
thc syrup,7
a battery,6
a map,6
acapulco gold,6
