Noun Chunk,count
credit cards,15
platinum edibles,13
blue dream,13
green crack,12
moon rock,12
tommy chongs,11
northern lights,10
brass knuckles,10
fruity pebbles,9
cbd oil,9
white widow,8
las vegas,8
vape pens,7
rick simpson oil,7
oklahoma city,7
gas house san diego,7
kush queen,7
thc oil,7
pre rolls,6
gary payton,6
thc syrup,6
tyson ranch,6
sour diesel,6
love potion,5
medical card,5
phone number,5
pineapple express,5
white runtz,5
liquid karma,5
girl scout cookies,5
recreational dispensary,5
cbd flower,5
punch edibles,4
top shelf,4
grand rapids,4
jack herer,4
bubba kush,4
live rosin,4
gods gift,4
the toad,4
alien labs,4
cereal milk,4
pre roll,4
om edibles,4
promo code,4
white rhino,4
pacific stone,4
recreational dispensaries,4
cotton candy,4
colorado springs,4
a review,4
strawberry cough,3
las vegas nv,3
cannabis brothers,3
best deals,3
grease monkey,3
wedding cake,3
pax era,3
ice cream cake,3
big chief,3
purple haze,3
canna butter,3
indica edibles,3
granddaddy purple,3
muha meds,3
cherry pie,3
magic mushrooms,3
albuquerque nm,3
half ounce,3
cheetah piss,3
london ontario,3
space queen,3
pink lemonade,3
dragon balm,3
patient station,3
acapulco gold,3
durban poison,3
puerto rico,3
hot cheetos,3
cbd thc,3
natural remedies,3
golden goat,3
garlic cookies,3
sativa flower,3
hemp seeds,3
san bernardino,3
sunday goods,3
tangerine dream,3
vape cartridges,3
1000 mg,3
plug n play,3
lansing mi,3
eleven roses,3
los angeles,3
rick simpson,3
birthday deals,3
nerd ropes,3
long beach,3
kona gold,3
no minimum,3
